Code,Name,FK_5Group,FK_10Group
-1,Not Applicable,-1,-1
0,0,1,1
1,1,1,1
2,2,1,1
3,3,1,1
4,4,1,1
5,5,1,1
6,6,2,1
7,7,2,1
8,8,2,1
9,9,2,1
10,10,2,1
11,11,3,2
12,12,3,2
13,13,3,2
14,14,3,2
15,15,3,2
16,16,4,2
17,17,4,2
18,18,4,2
19,19,4,2
20,20,4,2
21,21,5,3
22,22,5,3
23,23,5,3
24,24,5,3
25,25,5,3
26,26,6,3
27,27,6,3
28,28,6,3
29,29,6,3
30,30,6,3
31,31,7,4
32,32,7,4
33,33,7,4
34,34,7,4
35,35,7,4
36,36,8,4
37,37,8,4
38,38,8,4
39,39,8,4
40,40,8,4
41,41,9,5
42,42,9,5
43,43,9,5
44,44,9,5
45,45,9,5
46,46,10,5
47,47,10,5
48,48,10,5
49,49,10,5
50,50,10,5
51,51,11,6
52,52,11,6
53,53,11,6
54,54,11,6
55,55,11,6
56,56,12,6
57,57,12,6
58,58,12,6
59,59,12,6
60,60,12,6
61,61,13,7
62,62,13,7
63,63,13,7
64,64,13,7
65,65,13,7
66,66,14,7
67,67,14,7
68,68,14,7
69,69,14,7
70,70,14,7
71,71,15,8
72,72,15,8
73,73,15,8
74,74,15,8
75,75,15,8
76,76,15,8
77,77,15,8
78,78,15,8
79,79,15,8
80,80,15,8
81,81,15,8
82,82,15,8
83,83,15,8
84,84,15,8
85,85,15,8
86,86,15,8
87,87,15,8
88,88,15,8
89,89,15,8
90,90,15,8
91,91,15,8
92,92,15,8
93,93,15,8
94,94,15,8
95,95,15,8
96,96,15,8
97,97,15,8
98,98,15,8
99,99,15,8
