Code,Name,FK_Quarter
194401,1944 January                    ,19441
194402,1944 February                   ,19441
194403,1944 March                      ,19441
194404,1944 April                      ,19442
194405,1944 May                        ,19442
194406,1944 June                       ,19442
194407,1944 July                       ,19443
194408,1944 August                     ,19443
194409,1944 September                  ,19443
194410,1944 October                    ,19444
194411,1944 November                   ,19444
194412,1944 December                   ,19444
194501,1945 January                    ,19451
194502,1945 February                   ,19451
194503,1945 March                      ,19451
194504,1945 April                      ,19452
194505,1945 May                        ,19452
194506,1945 June                       ,19452
194507,1945 July                       ,19453
194508,1945 August                     ,19453
194509,1945 September                  ,19453
194510,1945 October                    ,19454
194511,1945 November                   ,19454
194512,1945 December                   ,19454
194601,1946 January                    ,19461
194602,1946 February                   ,19461
194603,1946 March                      ,19461
194604,1946 April                      ,19462
194605,1946 May                        ,19462
194606,1946 June                       ,19462
194607,1946 July                       ,19463
194608,1946 August                     ,19463
194609,1946 September                  ,19463
194610,1946 October                    ,19464
194611,1946 November                   ,19464
194612,1946 December                   ,19464
194701,1947 January                    ,19471
194702,1947 February                   ,19471
194703,1947 March                      ,19471
194704,1947 April                      ,19472
194705,1947 May                        ,19472
194706,1947 June                       ,19472
194707,1947 July                       ,19473
194708,1947 August                     ,19473
194709,1947 September                  ,19473
194710,1947 October                    ,19474
194711,1947 November                   ,19474
194712,1947 December                   ,19474
194801,1948 January                    ,19481
194802,1948 February                   ,19481
194803,1948 March                      ,19481
194804,1948 April                      ,19482
194805,1948 May                        ,19482
194806,1948 June                       ,19482
194807,1948 July                       ,19483
194808,1948 August                     ,19483
194809,1948 September                  ,19483
194810,1948 October                    ,19484
194811,1948 November                   ,19484
194812,1948 December                   ,19484
194901,1949 January                    ,19491
194902,1949 February                   ,19491
194903,1949 March                      ,19491
194904,1949 April                      ,19492
194905,1949 May                        ,19492
194906,1949 June                       ,19492
194907,1949 July                       ,19493
194908,1949 August                     ,19493
194909,1949 September                  ,19493
194910,1949 October                    ,19494
194911,1949 November                   ,19494
194912,1949 December                   ,19494
195001,1950 January                    ,19501
195002,1950 February                   ,19501
195003,1950 March                      ,19501
