Code,Name,FK_Year
19441,1944 Quarter 1                  ,1944
19442,1944 Quarter 2                  ,1944
19443,1944 Quarter 3                  ,1944
19444,1944 Quarter 4                  ,1944
19451,1945 Quarter 1                  ,1945
19452,1945 Quarter 2                  ,1945
19453,1945 Quarter 3                  ,1945
19454,1945 Quarter 4                  ,1945
19461,1946 Quarter 1                  ,1946
19462,1946 Quarter 2                  ,1946
19463,1946 Quarter 3                  ,1946
19464,1946 Quarter 4                  ,1946
19471,1947 Quarter 1                  ,1947
19472,1947 Quarter 2                  ,1947
19473,1947 Quarter 3                  ,1947
19474,1947 Quarter 4                  ,1947
19481,1948 Quarter 1                  ,1948
19482,1948 Quarter 2                  ,1948
19483,1948 Quarter 3                  ,1948
19484,1948 Quarter 4                  ,1948
19491,1949 Quarter 1                  ,1949
19492,1949 Quarter 2                  ,1949
19493,1949 Quarter 3                  ,1949
19494,1949 Quarter 4                  ,1949
19501,1950 Quarter 1                  ,1950
19502,1950 Quarter 2                  ,1950
19503,1950 Quarter 3                  ,1950
19504,1950 Quarter 4                  ,1950
19511,1951 Quarter 1                  ,1951
19512,1951 Quarter 2                  ,1951
19513,1951 Quarter 3                  ,1951
19514,1951 Quarter 4                  ,1951
19521,1952 Quarter 1                  ,1952
19522,1952 Quarter 2                  ,1952
19523,1952 Quarter 3                  ,1952
19524,1952 Quarter 4                  ,1952
19531,1953 Quarter 1                  ,1953
19532,1953 Quarter 2                  ,1953
19533,1953 Quarter 3                  ,1953
19534,1953 Quarter 4                  ,1953
19541,1954 Quarter 1                  ,1954
19542,1954 Quarter 2                  ,1954
19543,1954 Quarter 3                  ,1954
19544,1954 Quarter 4                  ,1954
19551,1955 Quarter 1                  ,1955
19552,1955 Quarter 2                  ,1955
19553,1955 Quarter 3                  ,1955
19554,1955 Quarter 4                  ,1955
19561,1956 Quarter 1                  ,1956
19562,1956 Quarter 2                  ,1956
19563,1956 Quarter 3                  ,1956
19564,1956 Quarter 4                  ,1956
19571,1957 Quarter 1                  ,1957
19572,1957 Quarter 2                  ,1957
19573,1957 Quarter 3                  ,1957
19574,1957 Quarter 4                  ,1957
19581,1958 Quarter 1                  ,1958
19582,1958 Quarter 2                  ,1958
19583,1958 Quarter 3                  ,1958
19584,1958 Quarter 4                  ,1958
19591,1959 Quarter 1                  ,1959
19592,1959 Quarter 2                  ,1959
19593,1959 Quarter 3                  ,1959
19594,1959 Quarter 4                  ,1959
19601,1960 Quarter 1                  ,1960
19602,1960 Quarter 2                  ,1960
19603,1960 Quarter 3                  ,1960
19604,1960 Quarter 4                  ,1960
19611,1961 Quarter 1                  ,1961
19612,1961 Quarter 2                  ,1961
19613,1961 Quarter 3                  ,1961
19614,1961 Quarter 4                  ,1961
19621,1962 Quarter 1                  ,1962
19622,1962 Quarter 2                  ,1962
19623,1962 Quarter 3                  ,1962
19624,1962 Quarter 4                  ,1962
19631,1963 Quarter 1                  ,1963
19632,1963 Quarter 2                  ,1963
19633,1963 Quarter 3                  ,1963
19634,1963 Quarter 4                  ,1963
19641,1964 Quarter 1                  ,1964
19642,1964 Quarter 2                  ,1964
19643,1964 Quarter 3                  ,1964
19644,1964 Quarter 4                  ,1964
19651,1965 Quarter 1                  ,1965
19652,1965 Quarter 2                  ,1965
19653,1965 Quarter 3                  ,1965
19654,1965 Quarter 4                  ,1965
19661,1966 Quarter 1                  ,1966
19662,1966 Quarter 2                  ,1966
19663,1966 Quarter 3                  ,1966
19664,1966 Quarter 4                  ,1966
19671,1967 Quarter 1                  ,1967
19672,1967 Quarter 2                  ,1967
19673,1967 Quarter 3                  ,1967
19674,1967 Quarter 4                  ,1967
19681,1968 Quarter 1                  ,1968
19682,1968 Quarter 2                  ,1968
19683,1968 Quarter 3                  ,1968
19684,1968 Quarter 4                  ,1968
19691,1969 Quarter 1                  ,1969
19692,1969 Quarter 2                  ,1969
19693,1969 Quarter 3                  ,1969
19694,1969 Quarter 4                  ,1969
19701,1970 Quarter 1                  ,1970
19702,1970 Quarter 2                  ,1970
19703,1970 Quarter 3                  ,1970
19704,1970 Quarter 4                  ,1970
19711,1971 Quarter 1                  ,1971
19712,1971 Quarter 2                  ,1971
19713,1971 Quarter 3                  ,1971
19714,1971 Quarter 4                  ,1971
19721,1972 Quarter 1                  ,1972
19722,1972 Quarter 2                  ,1972
19723,1972 Quarter 3                  ,1972
19724,1972 Quarter 4                  ,1972
19731,1973 Quarter 1                  ,1973
19732,1973 Quarter 2                  ,1973
19733,1973 Quarter 3                  ,1973
19734,1973 Quarter 4                  ,1973
19741,1974 Quarter 1                  ,1974
19742,1974 Quarter 2                  ,1974
19743,1974 Quarter 3                  ,1974
19744,1974 Quarter 4                  ,1974
19751,1975 Quarter 1                  ,1975
19752,1975 Quarter 2                  ,1975
19753,1975 Quarter 3                  ,1975
