Code,Name,FK_Quarter
199701,1997 January,19971
199702,1997 February,19971
199703,1997 March,19971
199704,1997 April,19972
199705,1997 May,19972
199706,1997 June,19972
199707,1997 July,19973
199708,1997 August,19973
199709,1997 September,19973
199710,1997 October,19974
199711,1997 November,19974
199712,1997 December,19974
199801,1998 January,19981
199802,1998 February,19981
199803,1998 March,19981
199804,1998 April,19982
199805,1998 May,19982
199806,1998 June,19982
199807,1998 July,19983
199808,1998 August,19983
199809,1998 September,19983
199810,1998 October,19984
199811,1998 November,19984
199812,1998 December,19984
199901,1999 January,19991
199902,1999 February,19991
199903,1999 March,19991
199904,1999 April,19992
199905,1999 May,19992
199906,1999 June,19992
199907,1999 July,19993
199908,1999 August,19993
199909,1999 September,19993
199910,1999 October,19994
199911,1999 November,19994
199912,1999 December,19994
200001,2000 January,20001
200002,2000 February,20001
200003,2000 March,20001
200004,2000 April,20002
200005,2000 May,20002
200006,2000 June,20002
200007,2000 July,20003
200008,2000 August,20003
200009,2000 September,20003
200010,2000 October,20004
200011,2000 November,20004
200012,2000 December,20004
200101,2001 January,20011
200102,2001 February,20011
200103,2001 March,20011
200104,2001 April,20012
200105,2001 May,20012
200106,2001 June,20012
200107,2001 July,20013
200108,2001 August,20013
200109,2001 September,20013
200110,2001 October,20014
200111,2001 November,20014
200112,2001 December,20014
200201,2002 January,20021
200202,2002 February,20021
200203,2002 March,20021
200204,2002 April,20022
200205,2002 May,20022
200206,2002 June,20022
200207,2002 July,20023
200208,2002 August,20023
200209,2002 September,20023
200210,2002 October,20024
200211,2002 November,20024
200212,2002 December,20024
200301,2003 January,20031
200302,2003 February,20031
200303,2003 March,20031
200304,2003 April,20032
200305,2003 May,20032
200306,2003 June,20032
200307,2003 July,20033
200308,2003 August,20033
200309,2003 September,20033
200310,2003 October,20034
200311,2003 November,20034
200312,2003 December,20034
200401,2004 January,20041
200402,2004 February,20041
200403,2004 March,20041
200404,2004 April,20042
200405,2004 May,20042
200406,2004 June,20042
200407,2004 July,20043
200408,2004 August,20043
200409,2004 September,20043
200410,2004 October,20044
200411,2004 November,20044
200412,2004 December,20044
200501,2005 January,20051
200502,2005 February,20051
200503,2005 March,20051
200504,2005 April,20052
200505,2005 May,20052
200506,2005 June,20052
200507,2005 July,20053
200508,2005 August,20053
200509,2005 September,20053
200510,2005 October,20054
200511,2005 November,20054
200512,2005 December,20054
200601,2006 January,20061
200602,2006 February,20061
200603,2006 March,20061
200604,2006 April,20062
200605,2006 May,20062
200606,2006 June,20062
200607,2006 July,20063
200608,2006 August,20063
200609,2006 September,20063
200610,2006 October,20064
200611,2006 November,20064
200612,2006 December,20064
