Code,Name,FK_Year
19971,1997 Quarter 1,1997
19972,1997 Quarter 2,1997
19973,1997 Quarter 3,1997
19974,1997 Quarter 4,1997
19981,1998 Quarter 1,1998
19982,1998 Quarter 2,1998
19983,1998 Quarter 3,1998
19984,1998 Quarter 4,1998
19991,1999 Quarter 1,1999
19992,1999 Quarter 2,1999
19993,1999 Quarter 3,1999
19994,1999 Quarter 4,1999
20001,2000 Quarter 1,2000
20002,2000 Quarter 2,2000
20003,2000 Quarter 3,2000
20004,2000 Quarter 4,2000
20011,2001 Quarter 1,2001
20012,2001 Quarter 2,2001
20013,2001 Quarter 3,2001
20014,2001 Quarter 4,2001
20021,2002 Quarter 1,2002
20022,2002 Quarter 2,2002
20023,2002 Quarter 3,2002
20024,2002 Quarter 4,2002
20031,2003 Quarter 1,2003
20032,2003 Quarter 2,2003
20033,2003 Quarter 3,2003
20034,2003 Quarter 4,2003
20041,2004 Quarter 1,2004
20042,2004 Quarter 2,2004
20043,2004 Quarter 3,2004
20044,2004 Quarter 4,2004
20051,2005 Quarter 1,2005
20052,2005 Quarter 2,2005
20053,2005 Quarter 3,2005
20054,2005 Quarter 4,2005
20061,2006 Quarter 1,2006
20062,2006 Quarter 2,2006
20063,2006 Quarter 3,2006
20064,2006 Quarter 4,2006
