Code,Name,FK_Month
19440701,1944-1945 July 01                    ,1944194501
19440702,1944-1945 July 02                    ,1944194501
19440703,1944-1945 July 03                    ,1944194501
19440704,1944-1945 July 04                    ,1944194501
19440705,1944-1945 July 05                    ,1944194501
19440706,1944-1945 July 06                    ,1944194501
19440707,1944-1945 July 07                    ,1944194501
19440708,1944-1945 July 08                    ,1944194501
19440709,1944-1945 July 09                    ,1944194501
19440710,1944-1945 July 10                    ,1944194501
19440711,1944-1945 July 11                    ,1944194501
19440712,1944-1945 July 12                    ,1944194501
19440713,1944-1945 July 13                    ,1944194501
19440714,1944-1945 July 14                    ,1944194501
19440715,1944-1945 July 15                    ,1944194501
19440716,1944-1945 July 16                    ,1944194501
19440717,1944-1945 July 17                    ,1944194501
19440718,1944-1945 July 18                    ,1944194501
19440719,1944-1945 July 19                    ,1944194501
19440720,1944-1945 July 20                    ,1944194501
19440721,1944-1945 July 21                    ,1944194501
19440722,1944-1945 July 22                    ,1944194501
19440723,1944-1945 July 23                    ,1944194501
19440724,1944-1945 July 24                    ,1944194501
19440725,1944-1945 July 25                    ,1944194501
19440726,1944-1945 July 26                    ,1944194501
19440727,1944-1945 July 27                    ,1944194501
19440728,1944-1945 July 28                    ,1944194501
19440729,1944-1945 July 29                    ,1944194501
19440730,1944-1945 July 30                    ,1944194501
19440731,1944-1945 July 31                    ,1944194501
19440801,1944-1945 August 01                  ,1944194502
19440802,1944-1945 August 02                  ,1944194502
19440803,1944-1945 August 03                  ,1944194502
19440804,1944-1945 August 04                  ,1944194502
19440805,1944-1945 August 05                  ,1944194502
19440806,1944-1945 August 06                  ,1944194502
19440807,1944-1945 August 07                  ,1944194502
19440808,1944-1945 August 08                  ,1944194502
19440809,1944-1945 August 09                  ,1944194502
19440810,1944-1945 August 10                  ,1944194502
19440811,1944-1945 August 11                  ,1944194502
19440812,1944-1945 August 12                  ,1944194502
19440813,1944-1945 August 13                  ,1944194502
19440814,1944-1945 August 14                  ,1944194502
19440815,1944-1945 August 15                  ,1944194502
19440816,1944-1945 August 16                  ,1944194502
19440817,1944-1945 August 17                  ,1944194502
19440818,1944-1945 August 18                  ,1944194502
19440819,1944-1945 August 19                  ,1944194502
19440820,1944-1945 August 20                  ,1944194502
19440821,1944-1945 August 21                  ,1944194502
19440822,1944-1945 August 22                  ,1944194502
19440823,1944-1945 August 23                  ,1944194502
19440824,1944-1945 August 24                  ,1944194502
19440825,1944-1945 August 25                  ,1944194502
19440826,1944-1945 August 26                  ,1944194502
19440827,1944-1945 August 27                  ,1944194502
19440828,1944-1945 August 28                  ,1944194502
19440829,1944-1945 August 29                  ,1944194502
19440830,1944-1945 August 30                  ,1944194502
19440831,1944-1945 August 31                  ,1944194502
19440901,1944-1945 September 01               ,1944194503
19440902,1944-1945 September 02               ,1944194503
19440903,1944-1945 September 03               ,1944194503
19440904,1944-1945 September 04               ,1944194503
19440905,1944-1945 September 05               ,1944194503
19440906,1944-1945 September 06               ,1944194503
19440907,1944-1945 September 07               ,1944194503
19440908,1944-1945 September 08               ,1944194503
19440909,1944-1945 September 09               ,1944194503
19440910,1944-1945 September 10               ,1944194503
19440911,1944-1945 September 11               ,1944194503
19440912,1944-1945 September 12               ,1944194503
19440913,1944-1945 September 13               ,1944194503
19440914,1944-1945 September 14               ,1944194503
19440915,1944-1945 September 15               ,1944194503
19440916,1944-1945 September 16               ,1944194503
19440917,1944-1945 September 17               ,1944194503
19440918,1944-1945 September 18               ,1944194503
19440919,1944-1945 September 19               ,1944194503
19440920,1944-1945 September 20               ,1944194503
19440921,1944-1945 September 21               ,1944194503
19440922,1944-1945 September 22               ,1944194503
19440923,1944-1945 September 23               ,1944194503
19440924,1944-1945 September 24               ,1944194503
19440925,1944-1945 September 25               ,1944194503
19440926,1944-1945 September 26               ,1944194503
19440927,1944-1945 September 27               ,1944194503
19440928,1944-1945 September 28               ,1944194503
19440929,1944-1945 September 29               ,1944194503
19440930,1944-1945 September 30               ,1944194503
19441001,1944-1945 October 01                 ,1944194504
19441002,1944-1945 October 02                 ,1944194504
19441003,1944-1945 October 03                 ,1944194504
19441004,1944-1945 October 04                 ,1944194504
19441005,1944-1945 October 05                 ,1944194504
19441006,1944-1945 October 06                 ,1944194504
19441007,1944-1945 October 07                 ,1944194504
19441008,1944-1945 October 08                 ,1944194504
19441009,1944-1945 October 09                 ,1944194504
19441010,1944-1945 October 10                 ,1944194504
19441011,1944-1945 October 11                 ,1944194504
19441012,1944-1945 October 12                 ,1944194504
19441013,1944-1945 October 13                 ,1944194504
19441014,1944-1945 October 14                 ,1944194504
19441015,1944-1945 October 15                 ,1944194504
19441016,1944-1945 October 16                 ,1944194504
19441017,1944-1945 October 17                 ,1944194504
19441018,1944-1945 October 18                 ,1944194504
19441019,1944-1945 October 19                 ,1944194504
19441020,1944-1945 October 20                 ,1944194504
19441021,1944-1945 October 21                 ,1944194504
19441022,1944-1945 October 22                 ,1944194504
19441023,1944-1945 October 23                 ,1944194504
19441024,1944-1945 October 24                 ,1944194504
19441025,1944-1945 October 25                 ,1944194504
19441026,1944-1945 October 26                 ,1944194504
19441027,1944-1945 October 27                 ,1944194504
19441028,1944-1945 October 28                 ,1944194504
19441029,1944-1945 October 29                 ,1944194504
19441030,1944-1945 October 30                 ,1944194504
19441031,1944-1945 October 31                 ,1944194504
19441101,1944-1945 November 01                ,1944194505
19441102,1944-1945 November 02                ,1944194505
19441103,1944-1945 November 03                ,1944194505
19441104,1944-1945 November 04                ,1944194505
19441105,1944-1945 November 05                ,1944194505
19441106,1944-1945 November 06                ,1944194505
19441107,1944-1945 November 07                ,1944194505
19441108,1944-1945 November 08                ,1944194505
19441109,1944-1945 November 09                ,1944194505
19441110,1944-1945 November 10                ,1944194505
19441111,1944-1945 November 11                ,1944194505
19441112,1944-1945 November 12                ,1944194505
