Code,Name,FK_Quarter
1944194501,1944-1945 July,194419451
1944194502,1944-1945 August,194419451
1944194503,1944-1945 September,194419451
1944194504,1944-1945 October,194419452
1944194505,1944-1945 November,194419452
1944194506,1944-1945 December,194419452
1944194507,1944-1945 January,194419453
1944194508,1944-1945 February,194419453
1944194509,1944-1945 March,194419453
1944194510,1944-1945 April,194419454
1944194511,1944-1945 May,194419454
1944194512,1944-1945 June,194419454
1945194601,1945-1946 July,194519461
1945194602,1945-1946 August,194519461
1945194603,1945-1946 September,194519461
1945194604,1945-1946 October,194519462
1945194605,1945-1946 November,194519462
1945194606,1945-1946 December,194519462
1945194607,1945-1946 January,194519463
1945194608,1945-1946 February,194519463
1945194609,1945-1946 March,194519463
1945194610,1945-1946 April,194519464
1945194611,1945-1946 May,194519464
1945194612,1945-1946 June,194519464
1946194701,1946-1947 July,194619471
1946194702,1946-1947 August,194619471
1946194703,1946-1947 September,194619471
1946194704,1946-1947 October,194619472
1946194705,1946-1947 November,194619472
1946194706,1946-1947 December,194619472
1946194707,1946-1947 January,194619473
1946194708,1946-1947 February,194619473
1946194709,1946-1947 March,194619473
1946194710,1946-1947 April,194619474
1946194711,1946-1947 May,194619474
1946194712,1946-1947 June,194619474
1947194801,1947-1948 July,194719481
1947194802,1947-1948 August,194719481
1947194803,1947-1948 September,194719481
1947194804,1947-1948 October,194719482
1947194805,1947-1948 November,194719482
1947194806,1947-1948 December,194719482
1947194807,1947-1948 January,194719483
1947194808,1947-1948 February,194719483
1947194809,1947-1948 March,194719483
1947194810,1947-1948 April,194719484
1947194811,1947-1948 May,194719484
1947194812,1947-1948 June,194719484
1948194901,1948-1949 July,194819491
1948194902,1948-1949 August,194819491
1948194903,1948-1949 September,194819491
1948194904,1948-1949 October,194819492
1948194905,1948-1949 November,194819492
1948194906,1948-1949 December,194819492
1948194907,1948-1949 January,194819493
1948194908,1948-1949 February,194819493
1948194909,1948-1949 March,194819493
1948194910,1948-1949 April,194819494
1948194911,1948-1949 May,194819494
1948194912,1948-1949 June,194819494
1949195001,1949-1950 July,194919501
1949195002,1949-1950 August,194919501
1949195003,1949-1950 September,194919501
1949195004,1949-1950 October,194919502
1949195005,1949-1950 November,194919502
1949195006,1949-1950 December,194919502
1949195007,1949-1950 January,194919503
1949195008,1949-1950 February,194919503
1949195009,1949-1950 March,194919503
