Code,Name,FK_Year
194419451,1944-1945 Quarter 1                  ,19441945
194419452,1944-1945 Quarter 2                  ,19441945
194419453,1944-1945 Quarter 3                  ,19441945
194419454,1944-1945 Quarter 4                  ,19441945
194519461,1945-1946 Quarter 1                  ,19451946
194519462,1945-1946 Quarter 2                  ,19451946
194519463,1945-1946 Quarter 3                  ,19451946
194519464,1945-1946 Quarter 4                  ,19451946
194619471,1946-1947 Quarter 1                  ,19461947
194619472,1946-1947 Quarter 2                  ,19461947
194619473,1946-1947 Quarter 3                  ,19461947
194619474,1946-1947 Quarter 4                  ,19461947
194719481,1947-1948 Quarter 1                  ,19471948
194719482,1947-1948 Quarter 2                  ,19471948
194719483,1947-1948 Quarter 3                  ,19471948
194719484,1947-1948 Quarter 4                  ,19471948
194819491,1948-1949 Quarter 1                  ,19481949
194819492,1948-1949 Quarter 2                  ,19481949
194819493,1948-1949 Quarter 3                  ,19481949
194819494,1948-1949 Quarter 4                  ,19481949
194919501,1949-1950 Quarter 1                  ,19491950
194919502,1949-1950 Quarter 2                  ,19491950
194919503,1949-1950 Quarter 3                  ,19491950
194919504,1949-1950 Quarter 4                  ,19491950
195019511,1950-1951 Quarter 1                  ,19501951
195019512,1950-1951 Quarter 2                  ,19501951
195019513,1950-1951 Quarter 3                  ,19501951
195019514,1950-1951 Quarter 4                  ,19501951
195119521,1951-1952 Quarter 1                  ,19511952
195119522,1951-1952 Quarter 2                  ,19511952
195119523,1951-1952 Quarter 3                  ,19511952
195119524,1951-1952 Quarter 4                  ,19511952
195219531,1952-1953 Quarter 1                  ,19521953
195219532,1952-1953 Quarter 2                  ,19521953
195219533,1952-1953 Quarter 3                  ,19521953
195219534,1952-1953 Quarter 4                  ,19521953
195319541,1953-1954 Quarter 1                  ,19531954
195319542,1953-1954 Quarter 2                  ,19531954
195319543,1953-1954 Quarter 3                  ,19531954
195319544,1953-1954 Quarter 4                  ,19531954
195419551,1954-1955 Quarter 1                  ,19541955
195419552,1954-1955 Quarter 2                  ,19541955
195419553,1954-1955 Quarter 3                  ,19541955
195419554,1954-1955 Quarter 4                  ,19541955
195519561,1955-1956 Quarter 1                  ,19551956
195519562,1955-1956 Quarter 2                  ,19551956
195519563,1955-1956 Quarter 3                  ,19551956
195519564,1955-1956 Quarter 4                  ,19551956
195619571,1956-1957 Quarter 1                  ,19561957
195619572,1956-1957 Quarter 2                  ,19561957
195619573,1956-1957 Quarter 3                  ,19561957
195619574,1956-1957 Quarter 4                  ,19561957
195719581,1957-1958 Quarter 1                  ,19571958
195719582,1957-1958 Quarter 2                  ,19571958
195719583,1957-1958 Quarter 3                  ,19571958
195719584,1957-1958 Quarter 4                  ,19571958
195819591,1958-1959 Quarter 1                  ,19581959
195819592,1958-1959 Quarter 2                  ,19581959
195819593,1958-1959 Quarter 3                  ,19581959
195819594,1958-1959 Quarter 4                  ,19581959
195919601,1959-1960 Quarter 1                  ,19591960
195919602,1959-1960 Quarter 2                  ,19591960
195919603,1959-1960 Quarter 3                  ,19591960
195919604,1959-1960 Quarter 4                  ,19591960
196019611,1960-1961 Quarter 1                  ,19601961
196019612,1960-1961 Quarter 2                  ,19601961
196019613,1960-1961 Quarter 3                  ,19601961
196019614,1960-1961 Quarter 4                  ,19601961
196119621,1961-1962 Quarter 1                  ,19611962
196119622,1961-1962 Quarter 2                  ,19611962
196119623,1961-1962 Quarter 3                  ,19611962
196119624,1961-1962 Quarter 4                  ,19611962
196219631,1962-1963 Quarter 1                  ,19621963
196219632,1962-1963 Quarter 2                  ,19621963
196219633,1962-1963 Quarter 3                  ,19621963
196219634,1962-1963 Quarter 4                  ,19621963
196319641,1963-1964 Quarter 1                  ,19631964
196319642,1963-1964 Quarter 2                  ,19631964
196319643,1963-1964 Quarter 3                  ,19631964
196319644,1963-1964 Quarter 4                  ,19631964
196419651,1964-1965 Quarter 1                  ,19641965
196419652,1964-1965 Quarter 2                  ,19641965
196419653,1964-1965 Quarter 3                  ,19641965
196419654,1964-1965 Quarter 4                  ,19641965
196519661,1965-1966 Quarter 1                  ,19651966
196519662,1965-1966 Quarter 2                  ,19651966
196519663,1965-1966 Quarter 3                  ,19651966
196519664,1965-1966 Quarter 4                  ,19651966
196619671,1966-1967 Quarter 1                  ,19661967
196619672,1966-1967 Quarter 2                  ,19661967
196619673,1966-1967 Quarter 3                  ,19661967
196619674,1966-1967 Quarter 4                  ,19661967
196719681,1967-1968 Quarter 1                  ,19671968
196719682,1967-1968 Quarter 2                  ,19671968
196719683,1967-1968 Quarter 3                  ,19671968
196719684,1967-1968 Quarter 4                  ,19671968
196819691,1968-1969 Quarter 1                  ,19681969
196819692,1968-1969 Quarter 2                  ,19681969
196819693,1968-1969 Quarter 3                  ,19681969
196819694,1968-1969 Quarter 4                  ,19681969
196919701,1969-1970 Quarter 1                  ,19691970
196919702,1969-1970 Quarter 2                  ,19691970
196919703,1969-1970 Quarter 3                  ,19691970
196919704,1969-1970 Quarter 4                  ,19691970
197019711,1970-1971 Quarter 1                  ,19701971
197019712,1970-1971 Quarter 2                  ,19701971
197019713,1970-1971 Quarter 3                  ,19701971
197019714,1970-1971 Quarter 4                  ,19701971
197119721,1971-1972 Quarter 1                  ,19711972
197119722,1971-1972 Quarter 2                  ,19711972
197119723,1971-1972 Quarter 3                  ,19711972
197119724,1971-1972 Quarter 4                  ,19711972
197219731,1972-1973 Quarter 1                  ,19721973
197219732,1972-1973 Quarter 2                  ,19721973
197219733,1972-1973 Quarter 3                  ,19721973
197219734,1972-1973 Quarter 4                  ,19721973
197319741,1973-1974 Quarter 1                  ,19731974
197319742,1973-1974 Quarter 2                  ,19731974
197319743,1973-1974 Quarter 3                  ,19731974
197319744,1973-1974 Quarter 4                  ,19731974
197419751,1974-1975 Quarter 1                  ,19741975
197419752,1974-1975 Quarter 2                  ,19741975
197419753,1974-1975 Quarter 3                  ,19741975
197419754,1974-1975 Quarter 4                  ,19741975
197519761,1975-1976 Quarter 1                  ,19751976
197519762,1975-1976 Quarter 2                  ,19751976
197519763,1975-1976 Quarter 3                  ,19751976
197519764,1975-1976 Quarter 4                  ,19751976
197619771,1976-1977 Quarter 1                  ,19761977
197619772,1976-1977 Quarter 2                  ,19761977
197619773,1976-1977 Quarter 3                  ,19761977
197619774,1976-1977 Quarter 4                  ,19761977
197719781,1977-1978 Quarter 1                  ,19771978
197719782,1977-1978 Quarter 2                  ,19771978
197719783,1977-1978 Quarter 3                  ,19771978
197719784,1977-1978 Quarter 4                  ,19771978
197819791,1978-1979 Quarter 1                  ,19781979
197819792,1978-1979 Quarter 2                  ,19781979
197819793,1978-1979 Quarter 3                  ,19781979
197819794,1978-1979 Quarter 4                  ,19781979
197919801,1979-1980 Quarter 1                  ,19791980
197919802,1979-1980 Quarter 2                  ,19791980
197919803,1979-1980 Quarter 3                  ,19791980
197919804,1979-1980 Quarter 4                  ,19791980
198019811,1980-1981 Quarter 1                  ,19801981
198019812,1980-1981 Quarter 2                  ,19801981
198019813,1980-1981 Quarter 3                  ,19801981
198019814,1980-1981 Quarter 4                  ,19801981
198119821,1981-1982 Quarter 1                  ,19811982
198119822,1981-1982 Quarter 2                  ,19811982
198119823,1981-1982 Quarter 3                  ,19811982
198119824,1981-1982 Quarter 4                  ,19811982
198219831,1982-1983 Quarter 1                  ,19821983
198219832,1982-1983 Quarter 2                  ,19821983
198219833,1982-1983 Quarter 3                  ,19821983
198219834,1982-1983 Quarter 4                  ,19821983
198319841,1983-1984 Quarter 1                  ,19831984
198319842,1983-1984 Quarter 2                  ,19831984
198319843,1983-1984 Quarter 3                  ,19831984
198319844,1983-1984 Quarter 4                  ,19831984
198419851,1984-1985 Quarter 1                  ,19841985
198419852,1984-1985 Quarter 2                  ,19841985
198419853,1984-1985 Quarter 3                  ,19841985
198419854,1984-1985 Quarter 4                  ,19841985
198519861,1985-1986 Quarter 1                  ,19851986
198519862,1985-1986 Quarter 2                  ,19851986
198519863,1985-1986 Quarter 3                  ,19851986
198519864,1985-1986 Quarter 4                  ,19851986
198619871,1986-1987 Quarter 1                  ,19861987
198619872,1986-1987 Quarter 2                  ,19861987
198619873,1986-1987 Quarter 3                  ,19861987
198619874,1986-1987 Quarter 4                  ,19861987
198719881,1987-1988 Quarter 1                  ,19871988
198719882,1987-1988 Quarter 2                  ,19871988
198719883,1987-1988 Quarter 3                  ,19871988
198719884,1987-1988 Quarter 4                  ,19871988
198819891,1988-1989 Quarter 1                  ,19881989
198819892,1988-1989 Quarter 2                  ,19881989
198819893,1988-1989 Quarter 3                  ,19881989
198819894,1988-1989 Quarter 4                  ,19881989
198919901,1989-1990 Quarter 1                  ,19891990
198919902,1989-1990 Quarter 2                  ,19891990
198919903,1989-1990 Quarter 3                  ,19891990
198919904,1989-1990 Quarter 4                  ,19891990
199019911,1990-1991 Quarter 1                  ,19901991
199019912,1990-1991 Quarter 2                  ,19901991
199019913,1990-1991 Quarter 3                  ,19901991
199019914,1990-1991 Quarter 4                  ,19901991
199119921,1991-1992 Quarter 1                  ,19911992
199119922,1991-1992 Quarter 2                  ,19911992
199119923,1991-1992 Quarter 3                  ,19911992
199119924,1991-1992 Quarter 4                  ,19911992
199219931,1992-1993 Quarter 1                  ,19921993
199219932,1992-1993 Quarter 2                  ,19921993
199219933,1992-1993 Quarter 3                  ,19921993
199219934,1992-1993 Quarter 4                  ,19921993
199319941,1993-1994 Quarter 1                  ,19931994
199319942,1993-1994 Quarter 2                  ,19931994
199319943,1993-1994 Quarter 3                  ,19931994
199319944,1993-1994 Quarter 4                  ,19931994
199419951,1994-1995 Quarter 1                  ,19941995
199419952,1994-1995 Quarter 2                  ,19941995
199419953,1994-1995 Quarter 3                  ,19941995
199419954,1994-1995 Quarter 4                  ,19941995
199519961,1995-1996 Quarter 1                  ,19951996
199519962,1995-1996 Quarter 2                  ,19951996
199519963,1995-1996 Quarter 3                  ,19951996
199519964,1995-1996 Quarter 4                  ,19951996
199619971,1996-1997 Quarter 1                  ,19961997
199619972,1996-1997 Quarter 2                  ,19961997
199619973,1996-1997 Quarter 3                  ,19961997
199619974,1996-1997 Quarter 4                  ,19961997
199719981,1997-1998 Quarter 1                  ,19971998
199719982,1997-1998 Quarter 2                  ,19971998
199719983,1997-1998 Quarter 3                  ,19971998
199719984,1997-1998 Quarter 4                  ,19971998
199819991,1998-1999 Quarter 1                  ,19981999
199819992,1998-1999 Quarter 2                  ,19981999
199819993,1998-1999 Quarter 3                  ,19981999
199819994,1998-1999 Quarter 4                  ,19981999
199920001,1999-2000 Quarter 1                  ,19992000
199920002,1999-2000 Quarter 2                  ,19992000
199920003,1999-2000 Quarter 3                  ,19992000
199920004,1999-2000 Quarter 4                  ,19992000
200020011,2000-2001 Quarter 1                  ,20002001
200020012,2000-2001 Quarter 2                  ,20002001
200020013,2000-2001 Quarter 3                  ,20002001
200020014,2000-2001 Quarter 4                  ,20002001
200120021,2001-2002 Quarter 1                  ,20012002
200120022,2001-2002 Quarter 2                  ,20012002
200120023,2001-2002 Quarter 3                  ,20012002
200120024,2001-2002 Quarter 4                  ,20012002
200220031,2002-2003 Quarter 1                  ,20022003
200220032,2002-2003 Quarter 2                  ,20022003
200220033,2002-2003 Quarter 3                  ,20022003
200220034,2002-2003 Quarter 4                  ,20022003
200320041,2003-2004 Quarter 1                  ,20032004
200320042,2003-2004 Quarter 2                  ,20032004
200320043,2003-2004 Quarter 3                  ,20032004
200320044,2003-2004 Quarter 4                  ,20032004
200420051,2004-2005 Quarter 1                  ,20042005
200420052,2004-2005 Quarter 2                  ,20042005
200420053,2004-2005 Quarter 3                  ,20042005
200420054,2004-2005 Quarter 4                  ,20042005
200520061,2005-2006 Quarter 1                  ,20052006
200520062,2005-2006 Quarter 2                  ,20052006
200520063,2005-2006 Quarter 3                  ,20052006
200520064,2005-2006 Quarter 4                  ,20052006
200620071,2006-2007 Quarter 1                  ,20062007
200620072,2006-2007 Quarter 2                  ,20062007
