Code,Name,FK_Year
199719981,1997-1998 Quarter 1                  ,19971998
199719982,1997-1998 Quarter 2                  ,19971998
199719983,1997-1998 Quarter 3                  ,19971998
199719984,1997-1998 Quarter 4                  ,19971998
199819991,1998-1999 Quarter 1                  ,19981999
199819992,1998-1999 Quarter 2                  ,19981999
199819993,1998-1999 Quarter 3                  ,19981999
199819994,1998-1999 Quarter 4                  ,19981999
199920001,1999-2000 Quarter 1                  ,19992000
199920002,1999-2000 Quarter 2                  ,19992000
199920003,1999-2000 Quarter 3                  ,19992000
199920004,1999-2000 Quarter 4                  ,19992000
200020011,2000-2001 Quarter 1                  ,20002001
200020012,2000-2001 Quarter 2                  ,20002001
200020013,2000-2001 Quarter 3                  ,20002001
200020014,2000-2001 Quarter 4                  ,20002001
200120021,2001-2002 Quarter 1                  ,20012002
200120022,2001-2002 Quarter 2                  ,20012002
200120023,2001-2002 Quarter 3                  ,20012002
200120024,2001-2002 Quarter 4                  ,20012002
200220031,2002-2003 Quarter 1                  ,20022003
200220032,2002-2003 Quarter 2                  ,20022003
200220033,2002-2003 Quarter 3                  ,20022003
200220034,2002-2003 Quarter 4                  ,20022003
200320041,2003-2004 Quarter 1                  ,20032004
200320042,2003-2004 Quarter 2                  ,20032004
200320043,2003-2004 Quarter 3                  ,20032004
200320044,2003-2004 Quarter 4                  ,20032004
200420051,2004-2005 Quarter 1                  ,20042005
200420052,2004-2005 Quarter 2                  ,20042005
200420053,2004-2005 Quarter 3                  ,20042005
200420054,2004-2005 Quarter 4                  ,20042005
200520061,2005-2006 Quarter 1                  ,20052006
200520062,2005-2006 Quarter 2                  ,20052006
200520063,2005-2006 Quarter 3                  ,20052006
200520064,2005-2006 Quarter 4                  ,20052006
200620071,2006-2007 Quarter 1                  ,20062007
200620072,2006-2007 Quarter 2                  ,20062007
