Code,Name
19441945,1944-1945
19451946,1945-1946
19461947,1946-1947
19471948,1947-1948
19481949,1948-1949
19491950,1949-1950
19501951,1950-1951
19511952,1951-1952
19521953,1952-1953
19531954,1953-1954
19541955,1954-1955
19551956,1955-1956
19561957,1956-1957
19571958,1957-1958
19581959,1958-1959
19591960,1959-1960
19601961,1960-1961
19611962,1961-1962
19621963,1962-1963
19631964,1963-1964
19641965,1964-1965
19651966,1965-1966
19661967,1966-1967
19671968,1967-1968
19681969,1968-1969
19691970,1969-1970
19701971,1970-1971
19711972,1971-1972
19721973,1972-1973
19731974,1973-1974
19741975,1974-1975
19751976,1975-1976
19761977,1976-1977
19771978,1977-1978
19781979,1978-1979
19791980,1979-1980
19801981,1980-1981
19811982,1981-1982
19821983,1982-1983
19831984,1983-1984
19841985,1984-1985
19851986,1985-1986
19861987,1986-1987
19871988,1987-1988
19881989,1988-1989
19891990,1989-1990
19901991,1990-1991
19911992,1991-1992
19921993,1992-1993
19931994,1993-1994
19941995,1994-1995
19951996,1995-1996
19961997,1996-1997
19971998,1997-1998
19981999,1998-1999
19992000,1999-2000
20002001,2000-2001
20012002,2001-2002
20022003,2002-2003
20032004,2003-2004
20042005,2004-2005
20052006,2005-2006
20062007,2006-2007
