Code,Name,FK_SSD
-1,Unknown,-1
800,800,70505
810,810,70505
812,812,70505
820,820,70505
822,822,71010
828,828,70505
830,830,70510
832,832,70510
835,835,70520
836,836,70520
837,837,70520
845,845,71005
846,846,71005
847,847,71020
850,850,71030
852,852,71015
854,854,71030
860,860,71035
862,862,71035
870,870,71040
872,872,71035
880,880,71025
885,885,71025
886,886,71015
899,899,78501
2000,2000,10505
2006,2006,10505
2007,2007,10505
2008,2008,10505
2009,2009,10505
2010,2010,10505
2011,2011,10505
2015,2015,10505
2016,2016,10505
2017,2017,10505
2018,2018,10505
2019,2019,10505
2020,2020,10505
2021,2021,10510
2022,2022,10510
2023,2023,10510
2024,2024,10510
2025,2025,10510
2026,2026,10510
2027,2027,10510
2028,2028,10510
2029,2029,10510
2030,2030,10510
2031,2031,10510
2032,2032,10510
2033,2033,10510
2034,2034,10510
2035,2035,10505
2036,2036,10505
2037,2037,10505
2038,2038,10505
2039,2039,10505
2040,2040,10505
2041,2041,10505
2042,2042,10505
2043,2043,10505
2044,2044,10505
2045,2045,10535
2046,2046,10535
2047,2047,10535
2048,2048,10505
2049,2049,10505
2050,2050,10505
2060,2060,10555
2061,2061,10555
2062,2062,10555
2063,2063,10555
2064,2064,10555
2065,2065,10555
2066,2066,10555
2067,2067,10555
2068,2068,10555
2069,2069,10555
2070,2070,10560
2071,2071,10560
2072,2072,10560
2073,2073,10560
2074,2074,10560
2075,2075,10560
2076,2076,10560
2077,2077,10560
2079,2079,10560
2080,2080,10560
2081,2081,10560
2082,2082,10560
2083,2083,10560
2084,2084,10565
2085,2085,10565
2086,2086,10565
2087,2087,10565
2088,2088,10555
2089,2089,10555
2090,2090,10555
2092,2092,10565
2093,2093,10565
2094,2094,10565
2095,2095,10565
2096,2096,10565
2097,2097,10565
2099,2099,10565
2100,2100,10565
2101,2101,10565
2102,2102,10565
2103,2103,10565
2104,2104,10565
2105,2105,10565
2106,2106,10565
2107,2107,10565
2108,2108,10565
2109,2109,10555
2110,2110,10555
2111,2111,10555
2112,2112,10555
2113,2113,10555
2114,2114,10555
2115,2115,10540
2116,2116,10540
2117,2117,10540
2118,2118,10560
2119,2119,10560
2120,2120,10560
2121,2121,10540
2122,2122,10555
2125,2125,10560
2126,2126,10560
2128,2128,10540
2130,2130,10535
2131,2131,10535
2132,2132,10535
2133,2133,10520
2134,2134,10535
2135,2135,10535
2136,2136,10535
2137,2137,10535
2138,2138,10535
2140,2140,10535
2141,2141,10540
2142,2142,10540
2143,2143,10520
2144,2144,10540
2145,2145,10540
2146,2146,10553
2147,2147,10553
2148,2148,10540
2150,2150,10540
2151,2151,10540
2152,2152,10560
2153,2153,10540
2154,2154,10560
2155,2155,10560
2156,2156,10560
2157,2157,10560
2158,2158,10560
2159,2159,10560
2160,2160,10540
2161,2161,10525
2162,2162,10520
2163,2163,10520
2164,2164,10540
2165,2165,10525
2166,2166,10525
2167,2167,10530
2168,2168,10525
2170,2170,10525
2171,2171,10525
2173,2173,10525
2174,2174,10525
2176,2176,10525
2177,2177,10525
2190,2190,10520
2191,2191,10520
2192,2192,10520
2193,2193,10520
2194,2194,10520
2195,2195,10520
2196,2196,10520
2197,2197,10520
2198,2198,10520
2199,2199,10520
2200,2200,10520
2203,2203,10505
2204,2204,10505
2205,2205,10515
2206,2206,10520
2207,2207,10515
2208,2208,10520
2209,2209,10515
2210,2210,10515
2211,2211,10520
2212,2212,10520
2213,2213,10520
2214,2214,10520
2216,2216,10515
2217,2217,10515
2218,2218,10515
2219,2219,10515
2220,2220,10515
2221,2221,10515
2222,2222,10515
2223,2223,10515
2224,2224,10515
2225,2225,10515
2226,2226,10515
2227,2227,10515
2228,2228,10515
2229,2229,10515
2230,2230,10515
2231,2231,10515
2232,2232,10515
2233,2233,10515
2234,2234,10515
2250,2250,10570
2251,2251,10570
2256,2256,10570
2257,2257,10570
2258,2258,10570
2259,2259,10570
2260,2260,10570
2261,2261,10570
2262,2262,10570
2263,2263,10570
2264,2264,11005
2265,2265,11005
2267,2267,11005
2278,2278,11005
2280,2280,11005
2281,2281,11005
2282,2282,11005
2283,2283,11005
2284,2284,11005
2285,2285,11005
2286,2286,11005
2287,2287,11005
2289,2289,11005
2290,2290,11005
2291,2291,11005
2292,2292,11005
2293,2293,11005
2294,2294,11005
2295,2295,11005
2296,2296,11005
2297,2297,11005
2298,2298,11005
2299,2299,11005
2300,2300,11005
2302,2302,11005
2303,2303,11005
2304,2304,11005
2305,2305,11005
2306,2306,11005
